#{"t_start": 1764555172.557966, "env_id": "None"}
r,l,t
-4.216003,450,4338.484316
-2.51601,450,4362.260222
-90.108057,450,4386.003739
199.946354,122,4392.325787
0.511998,450,4416.091743
-16.840028,450,4440.060015
55.000008,450,4463.709397
-12.140015,450,4487.260692
139.912438,44,4489.702096
169.677773,47,4492.245759
158.900069,450,4515.42399
-97.310225,344,4533.314574
35.223984,450,4557.000245
107.796008,450,4580.824143
2.440911,132,4587.833324
-10.400008,450,4611.469471
-67.41239,138,4618.755489
-12.300002,450,4642.437636
-110.577776,441,4665.73059
146.472004,450,4689.605909
15.167997,450,4713.958314
217.720096,450,4737.906187
14.067997,450,4761.673617
16.195995,450,4785.074259
-33.048398,381,4805.303997
-11.600004,450,4828.740826
-9.315994,450,4852.92116
3.268015,289,4868.196956
-12.496028,450,4892.062288
-112.638264,137,4899.439684
324.428084,145,4907.137178
-46.183937,100,4912.512058
-1.654206,389,4932.727024
-100.333336,142,4940.392215
27.803976,450,4964.148456
5.688056,450,4987.805943
65.068058,450,5011.39726
197.23868,196,5021.681262
196.672022,55,5024.657593
-11.143995,450,5048.264687
119.596017,450,5071.833674
168.707114,50,5074.52404
27.367993,450,5098.239013
25.54399,450,5122.663171
196.373796,65,5126.161581
30.444106,450,5150.14347
247.194409,227,5162.561027
-13.371998,450,5186.429223
-8.315992,450,5210.445433
150.623106,32,5212.181574
-12.6,450,5236.178435
-11.816003,450,5260.047777
31.38798,450,5284.002235
140.184882,69,5287.73596
219.528123,450,5311.201545
-0.588,450,5335.221846
149.839551,30,5336.9381
174.001348,274,5351.608256
331.118452,148,5359.461353
140.751548,48,5362.048371
-54.634211,65,5365.580841
-103.405783,99,5370.942612
122.872004,450,5394.962229
202.924096,155,5403.255517
-11.4,450,5427.241927
0.507584,75,5431.186445
-22.156008,450,5455.221415
-11.728001,450,5479.023273
-7.403983,450,5503.014827
-9.895512,80,5507.329842
207.413808,56,5510.33933
-5.244006,450,5534.186344
0.764032,450,5558.07358
264.925531,118,5564.543584
-104.761338,151,5572.650207
-13.9,450,5596.617103
-9.344003,450,5620.416796
168.751559,48,5623.025397
-10.743994,450,5647.035465
17.691989,450,5671.210752
140.079105,41,5673.444676
-13.816009,450,5697.642467
-52.818637,139,5705.073163
42.088058,450,5729.096967
7.911993,450,5752.915739
-14.971997,450,5776.660799
264.83468,97,5781.836855
181.723571,57,5784.966081
209.368014,73,5788.879498
-28.712024,450,5812.998563
-89.596025,450,5836.712867
167.790223,54,5839.638659
156.052433,44,5841.943347
151.507103,140,5849.444025
181.840463,80,5853.602591
-15.156011,450,5877.314589
153.601326,58,5880.320853
210.262684,70,5883.973152
-10.184011,450,5907.56954
125.234664,79,5911.740724
-10.272002,450,5935.660263
0.436026,450,5959.291415
106.389776,218,5970.726686
289.800036,217,5982.159821
234.880504,80,5986.400854
154.101327,-9.043995,450,5142.289768,353,6007.232805
