#{"t_start": 1763489288.3692653, "env_id": "None"}
r,l,t
-11.493625,240,666.27975
136.726557,45,667.226605
-303.751309,92,669.192732
119.150002,27,669.728344
-2.292967,240,674.84538
114.22798,21,675.27064
109.719738,130,678.056824
140.991503,88,679.999901
124.154846,39,680.790726
115.923598,34,681.551212
124.930431,83,683.37407
-8.219815,240,688.428614
-23.931038,240,693.433164
-644.68126,240,698.572188
12.823757,240,703.95599
-77.698178,240,709.35511
131.564107,71,710.896853
102.791595,23,711.36962
102.531037,24,711.912112
122.646253,16,712.25679
-151.28175,62,713.735354
143.846987,38,714.572485
125.461361,33,715.239412
-5.530673,240,720.317612
148.302861,38,721.096237
103.827977,15,721.42237
108.120094,29,722.11788
129.737161,28,722.696417
125.417998,18,723.056506
103.047238,24,723.596631
103.905857,22,724.031909
-150.445433,67,725.417809
124.317214,176,729.294315
109.030646,90,731.311169
-18.286085,240,736.421327
122.369383,25,737.022337
115.246872,14,737.310664
-26.088593,240,742.46531
108.999607,77,744.045556
108.379112,17,744.440833
117.803063,33,745.115577
60.773512,77,746.749753
-2.134781,240,751.838384
129.127035,29,752.412754
140.587508,35,753.125504
115.92859,36,753.975421
138.428074,30,754.610854
122.003713,39,755.462249
135.306429,26,756.007576
49.28606,153,759.337175
127.453711,84,761.165803
132.643158,24,761.676102
-13.623604,240,766.904295
95.903559,21,767.41605
109.414123,18,767.770765
109.993506,98,769.845518
105.416326,29,770.428932
132.672799,24,770.966646
92.405296,20,771.397154
151.947821,43,772.285431
125.861129,34,773.062519
119.0749,39,773.867964
145.534687,51,774.95564
75.66738,17,775.29092
109.760951,19,775.69421931.95328,240,779.089432
92.2-16.951488,240,783.89505
83.776732,48,784.863304
127.273508,46,785.89475
94.93648,21,786.3372671115.474438,36,787.15993796.125783,138,789.503057
122.669535,42,790.389312-18.863153,240,794.047536
143.740212,38,794.984415
14.769203,240,797.495127
0.067987,240,800.961624
137.003756,33,801.707696
-61.006371,240,806.765446
129.320185,21,807.25456
5.364772,240,812.38525
183.843022,81,814.101938
-19.630808,240,819.283729
122.265888,23,819.809954
-7.558716,240,824.975155
80.503049,28,825.595949
-16.711875,240,830.838662
-19.016858,240,835.936595
138.690499,29,836.536624
127.507531,37,837.29842
-5.115325,240,842.439249
151.424614,51,843.553545
27.953251,240,848.660828
126.162582,19,849.108912
105.869866,23,849.577584
-9.350679,138,852.439121
81.288536,17,852.847876
123.062813,23,853.323706
135.829936,46,854.245436
